Feature ID	Taxon	Confidence
6323eb51105345e4fed5a71aac0e6fde	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_ampeli	0.797834622919486
ba0d255c67da23be3985283737a981e8	k__Fungi	0.9999999999999869
38dd79e10a3410fe0f7e722ca3c1f63b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.994861831042211
0d1b6dad634385bcf3f83b1a21e13111	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__Neosetophoma_rosigena	0.9745078472203118
99d2827085ff1c5e49b456b4a0426237	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_carnescens	0.9854899288758006
88623791a0c8709d02d20c73212373a4	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma	0.7956734606306187
950812e3965771817e2586ef5488863b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neodidymelliopsis;s__Neodidymelliopsis_ranunculi	0.7996398006103692
097dd4b127476b3a60debea917b84b0a	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	0.9957330982008205
b1d12dcf1e71110f5f53eb307c585f9c	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.9988715080278547
d7ea26f2fed9c2171c9fac61a53d243a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_dendrobii	0.8655385710847072
3e6ea4786f3be6c8077f3c9791bf323a	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema	0.9965550065096235
2af256bc2cad2eac25ea9231fa60d5f7	k__Fungi;p__Basidiomycota	0.7489677458820344
7ab449d91a073cf9ecb884537d65b38c	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__unidentified;s__unidentified	0.9957457262559248
5a254baa1a9df94de196b21cdd440cba	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae	0.9389832895358271
4f2cb908eb483c53dfbecdf8a8d5da92	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Bulleribasidium	0.9657044971844777
e69bf3e3502d2ef1f67677a8204154b9	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Pseudopithomyces;s__Pseudopithomyces_rosae	0.9999791217833416
fbad359e281383289c05c5865fcdb8e0	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_patagonicus	0.9599685107286561
ffbeeffcc47f79d5f19df2fdaf7a14c6	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_dioscoreae	0.9979475337114521
9e653f451f837ac3b6a002c1ca9bf72c	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Alatosessilispora;s__Alatosessilispora_bibrachiata	0.905430081029915
980b8bf8787cced8861147f94a228db4	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae	0.7619185787256961
88ee5a75d68ebdf6af9d0779c40bed50	k__Fungi	0.9999999999999922
